$submission_id,$created,Hvilken kode ble du gitt når vi startet?,Hva synes du er de tre viktigste tingene å tenke på ved utbygging av fornybar energi?,Hvilken fornybar energikilde ville du valgt?,Hvilken fornybar energikilde ville du valgt?.1,Hvilken fornybar energikilde ville du valgt?.2,Hvilken fornybar energikilde ville du valgt?.3,Hvilken fornybar energikilde ville du valgt?.4,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Agder,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Innlandet,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Møre og Romsdal,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Nordland,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Oslo,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Rogaland,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Vestfold og Telemark,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Troms og Finmark,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Trøndelag,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Vestland,Hvilke fylker i Norge mener du er best egnet til vindkraft?.Viken,I hvilken grad er du enig eller uenig at vindmøller plasseres her?,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.1,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.2,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.3,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.4,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.5,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.6,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.7,I hvilken grad er du enig eller uenig at vindmøller plasseres her?.8,I områder der det er lite økonomisk aktivitet for å etablere ny industri,Nærme der elektrisiteten brukes og flest mennesker bor,I øde områder der lite elektrisitet brukes (høye transportkostnader),I områder der naturen er påvirket av menneskelig aktivitet (byer eller tettsteder),I områder det naturen ikke er påvirket av menneskelig aktivitet (skog eller øde områder),Nærme eksisterende veier og strømledninger for å redusere behovet for nye,Ikke i naturreservater for å beskytte dyre- og fugleliv,Hvilke fylker i Norge tror du er best egnet til solkraft?.Agder,Hvilke fylker i Norge tror du er best egnet til solkraft?.Innlandet,Hvilke fylker i Norge tror du er best egnet til solkraft?.Møre og Romsdal,Hvilke fylker i Norge tror du er best egnet til solkraft?.Nordland,Hvilke fylker i Norge tror du er best egnet til solkraft?.Oslo,Hvilke fylker i Norge tror du er best egnet til solkraft?.Rogaland,Hvilke fylker i Norge tror du er best egnet til solkraft?.Vestfold og Telemark,Hvilke fylker i Norge tror du er best egnet til solkraft?.Troms og Finmark,Hvilke fylker i Norge tror du er best egnet til solkraft?.Trøndelag,Hvilke fylker i Norge tror du er best egnet til solkraft?.Vestland,Hvilke fylker i Norge tror du er best egnet til solkraft?.Viken,wind_exper.1,wind_exper.2,wind_exper.3,wind_exper.4,Hvordan synes du er best å ta hensyn til denne usikkerheten?,renew_int,Hvilket alternativ foretrekker du?,$answer_time_ms
31916418,2024-05-24 09:08:17,Mari,,2,,2.0,,2.0,0,0,0,0,0,1,0,0,1,0,0,4,7,7,1,3,7,8,4,8,4,3,3,3,1,4,4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,Dele det vi produserer for mye med andre og få elektrisitet fra andre når vi produserer for lite,1,Kabler over bakken,154054
31924795,2024-05-24 15:10:24,9a,,2,,2.0,,1.0,0,0,0,0,0,0,0,1,0,0,0,9,6,1,7,9,9,9,9,3,3,4,5,4,4,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Lagre (eks. batterier) alt vi produserer for mye,2,Kabler under bakken,598071
31924796,2024-05-24 15:10:27,21A,,1,1.0,,,,0,0,0,0,0,0,0,1,0,0,0,2,1,1,7,9,7,9,6,1,2,2,3,3,2,3,3,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,Lagre det vi produserer for mye og dele med andre,1,Kabler under bakken,516948
31924823,2024-05-24 15:11:57,13A,"1) Cost 
2) Efficiency 
3) Visual impact",1,1.0,,,,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,3,1,2,1,1,2,3,1,1,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Lagre (eks. batterier) alt vi produserer for mye,1,Kabler under bakken,647181
31924829,2024-05-24 15:12:05,4A,Natur og ekonomi,2,,2.0,,1.0,0,0,0,1,0,0,0,1,0,0,0,7,3,6,6,7,4,7,4,6,4,3,4,4,2,2,4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Dele det vi produserer for mye med andre og få elektrisitet fra andre når vi produserer for lite,3,Kabler over bakken,490626
31924833,2024-05-24 15:12:13,15A,"1) Vernet natur
2) Energy efficiency
3) Cost",1,1.0,,,,0,0,1,0,0,0,0,0,1,1,0,8,9,9,9,9,8,9,9,7,5,4,3,5,2,4,5,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,Lagre det vi produserer for mye og dele med andre,1,Kabler over bakken,708562
31924847,2024-05-24 15:13:25,14b,"1. Vernet natur
2. Kostnader 
3. Utløp av drivhusgasser under bygning",1,2.0,,,,0,0,0,0,0,0,0,0,0,1,0,5,4,8,5,2,5,8,5,1,4,3,2,2,2,5,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Lagre (eks. batterier) alt vi produserer for mye,2,Kabler over bakken,541546
31924850,2024-05-24 15:13:44,17A,"1. fordelene med den nye energikilde (altså hvorfor dette r bra for miljøet)
2. Effekten på nærmiljøet og naturen rundt 
3. Effekten på den potensielle befolkningen rundt energikilden",2,,1.0,1.0,,0,0,1,1,0,0,0,0,0,1,0,6,7,8,7,4,4,7,8,6,4,2,4,2,4,4,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,Lagre det vi produserer for mye og dele med andre,3,Kabler under bakken,674001
31924861,2024-05-24 15:14:11,B23,"kostnader
arbeidsmuligheter
vernet natur",1,1.0,,,,0,0,0,1,0,0,0,1,0,0,0,3,4,8,6,3,1,9,7,1,4,2,2,2,3,4,5,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,Lagre det vi produserer for mye og dele med andre,1,Kabler over bakken,685719
31924882,2024-05-24 15:15:04,A22,"man må gjøre en grundig environmental impact assessment, passe på økonomien og passe på at det faktisk er smart å bygge mer med tanke på mengden CO2 det tar å bygge mer fornybar energi.",2,,2.0,,2.0,0,0,0,1,0,1,0,1,1,0,0,7,8,4,8,9,8,9,6,5,5,4,4,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dele det vi produserer for mye med andre og få elektrisitet fra andre når vi produserer for lite,1,Kabler over bakken,873168
31924915,2024-05-24 15:16:32,ft5,"1. Consideration for local indigenous groups 
2. Conservation of nature 
3. Suitability for norways natural climate (e.g. hydropower is more suitable for norway than solar power)",2,,1.0,1.0,,0,0,0,0,0,1,0,0,1,0,0,4,2,7,3,8,9,7,6,3,2,4,2,3,4,5,5,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,Bruke mye elektrisitet når vi produserer mye og motsatt,1,Ikke bygge ut kabler,689692
32022285,2024-05-31 11:12:34,11E,,1,1.0,,,,1,1,1,1,1,1,1,1,1,1,1,9,9,8,3,9,1,9,5,5,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lagre (eks. batterier) alt vi produserer for mye,1,Kabler over bakken,125960
